institution_name,major_field,degree_level,median_earnings,employment_rate,debt_median
IIT Bombay,Economics,Master's,99191.0,0.96,12863.0
UC Berkeley,Psychology,Bachelor's,56243.0,0.8,30764.0
IIT Bombay,Engineering,Master's,110225.0,0.96,22649.0
Yale,Computer Science,Master's,110440.0,0.98,34136.0
LSE,Philosophy,Master's,58223.0,0.75,28761.0
Seoul National University,Philosophy,Master's,59875.0,0.79,32002.0
McGill University,Computer Science,Bachelor's,94646.0,0.93,12326.0
IIT Bombay,Commerce,Bachelor's,60371.0,0.82,16772.0
LSE,Fine Arts,Bachelor's,49057.0,0.93,24739.0
University of Melbourne,Philosophy,Master's,58608.0,0.77,11363.0
Oxford,Biology,Bachelor's,52342.0,0.76,16311.0
ETH Zurich,Engineering,Bachelor's,77411.0,0.71,12961.0
NUS,Philosophy,Bachelor's,47973.0,0.89,34002.0
NYU,Finance,Bachelor's,80577.0,0.87,21747.0
MIT,Fine Arts,Master's,55686.0,0.825,33341.0
NUS,Engineering,Bachelor's,77713.0,0.72,17215.0
NYU,Mechanical Engg,Master's,95900.0,0.68,16259.0
Harvard,Fine Arts,Bachelor's,40862.0,0.95,14537.0
Seoul National University,Commerce,Master's,69852.0,0.69,26564.0
University of Toronto,Marketing,Bachelor's,60172.0,0.81,23564.0
NUS,Computer Science,Bachelor's,88956.0,0.67,32021.0
ETH Zurich,Engineering,Bachelor's,79192.0,0.87,32823.0
Tsinghua University,Engineering,Bachelor's,81148.0,0.98,19589.0
KTH Royal Institute,Political Science,Bachelor's,54064.0,0.9,17463.0
Seoul National University,Philosophy,Master's,58324.0,0.96,34519.0
IIT Bombay,Philosophy,Master's,62447.0,0.93,30518.0
UCLA,Mechanical Engg,Bachelor's,73605.0,0.99,20113.0
UCLA,Commerce,Bachelor's,61479.0,0.81,23340.0
Yale,Mathematics,Master's,100551.0,0.79,12461.0
NYU,Mechanical Engg,Bachelor's,84738.0,0.77,24148.0
UC Berkeley,Economics,Bachelor's,75853.0,0.85,16383.0
Stanford University,Architecture,Master's,73677.0,0.79,16252.0
Oxford,Fine Arts,Master's,52730.0,0.77,23298.0
University of Toronto,Psychology,Bachelor's,47310.0,0.89,29971.0
KTH Royal Institute,Finance,Master's,106344.0,0.96,25686.0
MIT,Philosophy,Master's,76915.0,0.78,31911.0
Columbia,Political Science,Master's,65800.0,0.97,34072.0
UCLA,Finance,Bachelor's,92943.0,0.97,21015.0
McGill University,Engineering,Master's,99977.0,0.91,25488.0
McGill University,Data Science,Bachelor's,95699.0,0.91,34898.0
NYU,Engineering,Bachelor's,87898.0,0.95,13863.0
NUS,Mathematics,Bachelor's,78387.0,0.93,19067.0
Columbia,Political Science,Master's,70939.0,0.98,34277.0
MIT,Finance,Master's,94666.0,0.96,18213.0
UCLA,Finance,Bachelor's,85683.0,0.97,18956.0
IIT Bombay,Philosophy,Master's,71051.0,0.7,24841.0
Tsinghua University,Political Science,Bachelor's,59036.0,0.86,21974.0
University of Toronto,Commerce,Bachelor's,54969.0,0.89,23708.0
Yale,Commerce,Master's,74421.0,0.99,15375.0
Tsinghua University,Architecture,Bachelor's,64847.0,0.78,27170.0
ETH Zurich,Engineering,Bachelor's,89059.0,0.97,18241.0
NYU,Commerce,Master's,76990.0,0.67,22685.0
UCLA,Mathematics,Master's,96228.0,0.96,34363.0
KTH Royal Institute,Philosophy,Bachelor's,45289.0,0.76,14535.0
UCLA,Philosophy,Master's,55917.0,0.86,17790.0
Yale,Finance,Bachelor's,77345.0,0.68,20354.0
University of Delhi,Finance,Bachelor's,86583.0,0.86,11369.0
University of Delhi,Psychology,Bachelor's,48047.0,0.85,15752.0
McGill University,Marketing,Master's,60706.0,0.86,27737.0
